,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
2531,6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5,white
3398,6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6,white
5384,6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,6,white
938,12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,4,red
605,8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,6,red
4568,8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,5,white
1695,7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6,white
5273,5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7,white
4018,6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,5,white
5203,7,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6,7,white
2495,5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,6,white
5690,6.7,0.24,0.3,10.2,0.07,44,179,0.99666,2.86,0.46,8.9,6,white
823,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,red
371,6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,5,red
6433,5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9,6,white
3004,9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,5,white
1512,7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,5,red
2796,6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7,white
50,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,red
4927,5.8,0.17,0.36,1.3,0.036,11,70,0.99202,3.43,0.68,10.4,7,white
4931,6.8,0.23,0.32,8.6,0.046,47,159,0.99452,3.08,0.52,10.5,6,white
608,8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,6,red
1449,6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,5,red
6084,5.8,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,5,white
1288,8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,5,red
2658,7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6,white
3260,6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,6,white
4208,7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6,white
474,9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5,red
6239,6.9,0.54,0.26,12.7,0.049,59,195,0.99596,3.26,0.54,10.5,6,white
3489,7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,5,white
1378,5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,6,red
1735,6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5,white
4510,6.1,0.37,0.2,7.6,0.031,49,170,0.99558,3.22,0.48,9.5,5,white
2405,7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6,white
4720,6.2,0.25,0.42,8,0.049,53,206,0.99586,3.16,0.47,9.1,6,white
1284,8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,6,red
2087,6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6,white
2944,7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,8,white
3586,7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,6,white
5902,7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10,6,white
1342,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,red
5103,6.9,0.33,0.31,4.2,0.04,21,93,0.9896,3.18,0.48,13.4,7,white
4283,7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5,white
2919,6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,5,white
467,10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6,red
1881,6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,8,white
3030,7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,4,white
2448,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,white
3613,6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,6,white
1263,9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5,red
2206,7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5,white
2340,6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3,white
1369,8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,6,red
5503,5.8,0.27,0.26,3.5,0.071,26,69,0.98994,3.1,0.38,11.5,6,white
5060,6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6,white
5083,6.1,0.36,0.26,8.15,0.035,14,88,0.99031,3.06,0.27,13,7,white
5882,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5,white
4758,7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7,white
2577,6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,5,white
6464,6,0.41,0.23,1.1,0.066,22,148,0.99266,3.3,0.47,9.633333333,5,white
5218,7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,7,white
995,10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,5,red
1404,7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,8,red
3755,7.8,0.29,0.33,8.75,0.035,33,181,0.9962,3.11,0.46,10.7,5,white
960,8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,5,red
4202,6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6,white
5277,6.9,0.58,0.58,8.2,0.032,29,169,0.99275,3.28,0.44,12.2,6,white
1000,6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,6,red
4770,7.6,0.17,0.46,0.9,0.036,63,147,0.99126,3.02,0.41,10.7,6,white
6422,6.8,0.23,0.48,1.5,0.036,35,165,0.99162,3.18,0.45,11.3,6,white
5947,7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3,7,white
1909,6.2,0.31,0.26,4.8,0.037,36,148,0.9928,3.21,0.41,10.4,6,white
5487,7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6,white
1463,6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,6,red
1406,7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3,7,red
5090,7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7,white
5493,7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5,white
1754,8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6,white
5516,7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6,white
933,7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,6,red
1110,10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,6,red
1821,7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6,white
2867,8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7,white
1,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,red
612,13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5,red
3814,7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5,white
2213,7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5,white
2446,6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5,white
2972,10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,6,white
5376,6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,5,white
1918,5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7,white
5965,6.3,0.19,0.33,10.1,0.063,63,133,0.99561,2.86,0.41,9.1,5,white
3337,6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6,white
1582,6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5,red
5434,6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,5,white
2752,6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,4,white
3162,7.1,0.34,0.49,1.5,0.027,26,126,0.99,3.3,0.33,12.2,7,white
3925,7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6,white
4537,7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,5,white
2889,6.6,0.16,0.3,1.6,0.034,15,78,0.992,3.38,0.44,11.2,6,white
4601,6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,7,white
3641,5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5,white
4380,6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2,5,white
520,7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5,red
180,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,red
3599,7.3,0.18,0.31,17.3,0.055,32,197,1.0002,3.13,0.46,9,6,white
3303,6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5,white
6361,6.2,0.15,0.27,11,0.035,46,116,0.99602,3.12,0.38,9.1,6,white
6190,6.4,0.33,0.3,7.2,0.041,42,168,0.99331,3.22,0.49,11.1,6,white
1090,11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7,red
2558,6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,7,white
4007,7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,6,white
327,11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7,red
4397,6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5,white
2907,9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,5,white
1674,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,white
1196,6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,6,red
1344,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,red
5588,6.1,0.2,0.17,1.6,0.048,46,129,0.991,3.3,0.43,11.4,6,white
5314,8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10,4,white
2779,7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,5,white
1140,8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,6,red
5847,6.6,0.36,0.47,1.4,0.145,26,124,0.99274,3.09,0.56,10.1,6,white
5447,6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5,white
5074,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6,white
2869,8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,6,white
3164,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5,white
6103,5.8,0.61,0.01,8.4,0.041,31,104,0.9909,3.26,0.72,14.05,7,white
601,8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,4,red
372,7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,6,red
3811,6.9,0.21,0.33,1.4,0.056,35,136,0.9938,3.63,0.78,10.3,6,white
5581,6.3,0.22,0.27,4.5,0.036,81,157,0.9928,3.05,0.76,10.7,7,white
3778,7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5,white
889,6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,6,red
665,12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,5,red
5293,6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7,white
4464,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6,white
3927,7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6,white
2518,7,0.24,0.34,1.4,0.031,27,107,0.99,3.06,0.39,11.9,6,white
5260,5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,8,white
2097,6.8,0.23,0.32,1.6,0.026,43,147,0.9904,3.29,0.54,12.5,6,white
5555,7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,6,white
3620,7.7,0.26,0.34,6.4,0.05,36,163,0.9937,3.19,0.7,11.5,6,white
2546,8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5,white
5357,6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5,white
3897,6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6,white
2109,6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7,white
1768,7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5,white
6283,6.5,0.33,0.32,1,0.041,39,120,0.99004,3.06,0.37,12.2,6,white
2444,7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8,white
1411,6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,6,red
3727,9.1,0.33,0.38,1.7,0.062,50.5,344,0.9958,3.1,0.7,9.5,5,white
1063,8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,6,red
4031,6.3,0.29,0.14,7.05,0.045,50,177,0.99564,3.23,0.42,9,5,white
3608,7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5,white
4345,6.7,0.44,0.22,4.3,0.032,19,99,0.99015,3.26,0.53,12.8,7,white
4785,6.5,0.21,0.4,7.3,0.041,49,115,0.99268,3.21,0.43,11,6,white
658,12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7,red
4816,7.2,0.13,0.46,1.3,0.044,48,111,0.99127,2.97,0.45,11.1,5,white
6106,6.6,0.19,0.28,1.1,0.044,38,100,0.9904,3.22,0.69,11.2,6,white
3210,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6,white
2235,5.9,0.14,0.25,4.5,0.027,34,140,0.9934,3.49,0.51,10.8,6,white
715,9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,5,red
3094,7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4,8,white
2006,5.8,0.28,0.34,4,0.031,40,99,0.9896,3.39,0.39,12.8,7,white
3550,8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5,white
2209,7.4,0.37,0.35,5.7,0.061,12,94,0.9965,3.48,0.69,10.7,6,white
5625,6.2,0.32,0.45,2.9,0.029,37,94,0.98998,3.25,0.6,12.4,6,white
1971,7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6,white
392,13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6,red
3315,6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8,white
1715,5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4,white
5437,8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,6,white
4030,6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5,white
4081,6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6,white
4178,5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,7,white
5721,6.3,0.23,0.22,17.45,0.054,42,151,0.99853,3.12,0.6,9.3,6,white
3740,7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5,white
4948,7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6,white
5275,5.6,0.25,0.19,2.4,0.049,42,166,0.992,3.25,0.43,10.4,6,white
207,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,red
896,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6,red
3649,6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7,white
4170,6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5,white
5177,7.3,0.23,0.27,2.6,0.035,39,120,0.99138,3.04,0.59,11.3,7,white
4926,6.6,0.17,0.28,1.8,0.042,62,178,0.99204,3.15,0.42,10.2,5,white
2389,7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6,white
2047,6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,white
3565,6.8,0.27,0.28,13.3,0.076,50,163,0.9979,3.03,0.38,8.6,6,white
5400,8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5,white
1089,11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7,red
3711,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,white
533,11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,red
5937,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,white
3429,7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7,white
3228,8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6,white
5574,6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,6,white
5731,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,5,white
1314,7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,6,red
964,8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,6,red
2912,9.6,0.25,0.54,1.3,0.04,16,160,0.9938,2.94,0.43,10.5,5,white
1900,6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6,white
127,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,red
4338,6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,5,white
1461,6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,6,red
1704,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,white
1798,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5,white
6326,6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2,6,white
5301,6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5,white
5652,6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5,white
4519,6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,5,white
4538,7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8,white
4940,6.2,0.3,0.31,1.2,0.048,19,125,0.98999,3.32,0.54,12.6,6,white
6365,5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13,8,white
1985,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7,white
955,7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6,red
1585,6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,7,red
1785,6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,5,white
1261,8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,5,red
3945,8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,6,white
3204,6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,5,white
1787,5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,5,white
6080,5.9,0.22,0.45,22.6,0.12,55,122,0.99636,3.1,0.35,12.8,5,white
508,11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,6,red
6152,6.4,0.55,0.26,9.6,0.027,20,104,0.9924,3.22,0.73,13.1,6,white
5431,6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5,white
2799,7.4,0.25,0.37,6.9,0.02,14,93,0.9939,3,0.48,10.7,7,white
6469,6.6,0.24,0.33,10.1,0.032,8,81,0.99626,3.19,0.51,9.8,6,white
702,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6,red
2391,5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7,white
3967,7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,6,white
6371,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6,white
3208,6.9,0.27,0.49,23.5,0.057,59,235,1.0024,2.98,0.47,8.6,5,white
4809,6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6,5,white
5225,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,5,white
4902,6.6,0.24,0.28,6.7,0.032,26,91,0.99172,3.13,0.32,12.3,6,white
3785,7.5,0.18,0.31,11.7,0.051,24,94,0.997,3.19,0.44,9.5,7,white
3376,6.6,0.25,0.35,14,0.069,42,163,0.999,3.56,0.47,9.8,5,white
1982,7.5,0.35,0.28,9.6,0.051,26,157,0.9969,3.12,0.53,9.2,6,white
644,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,red
6366,6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,8,white
6145,6.3,0.25,0.53,1.8,0.021,41,101,0.989315,3.19,0.31,13,6,white
174,7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6,red
2898,7.3,0.34,0.39,5.2,0.04,45,163,0.9925,3.3,0.47,12.4,6,white
5655,6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6,white
4287,6.6,0.24,0.38,8,0.042,56,187,0.99577,3.21,0.46,9.2,5,white
171,7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4,red
