,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
531,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6,red
4563,7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13,7,white
1896,8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5,white
3962,6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6,white
1216,8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6,red
420,6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5,red
5946,6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6,white
5641,6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5,white
4849,6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7,white
2580,6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6,white
1248,7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,red
4955,5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6,white
1623,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5,white
5065,6.8,0.19,0.34,1.9,0.04,41,108,0.99,3.25,0.45,12.9,6,white
2324,7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,7,white
845,9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,6,red
996,7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,6,red
4082,6.2,0.26,0.37,7.1,0.047,54,201,0.99523,3.19,0.48,9.5,6,white
5030,7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6,white
3904,7.5,0.42,0.2,1.4,0.06,15,168,0.9944,3.06,0.4,9.4,6,white
3348,8,0.27,0.24,1.2,0.044,20,102,0.9929,3.28,0.42,10.9,5,white
3771,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,white
2789,7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5,white
1575,5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,6,red
6002,6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,6,white
5348,6.2,0.24,0.25,12.5,0.055,47,134,0.99758,3.3,0.51,9,5,white
2404,7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,6,white
6137,8.3,0.18,0.37,1.2,0.049,6,94,0.9937,3.18,0.52,10.1,5,white
5623,7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,6,white
5338,5.6,0.26,0.18,1.4,0.034,18,135,0.99174,3.32,0.35,10.2,6,white
793,7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6,red
6279,4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,5,white
3180,9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,5,white
2552,6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6,white
3838,6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6,white
6110,6.8,0.33,0.3,2.1,0.047,35,147,0.9886,3.24,0.56,13.4,6,white
4305,6.7,0.26,0.39,6.4,0.171,64,200,0.99562,3.19,0.38,9.4,6,white
6134,6.4,0.24,0.27,1.5,0.04,35,105,0.98914,3.13,0.3,12.4,6,white
3416,6.7,0.27,0.3,13.9,0.029,34,131,0.9953,3.36,0.5,12,7,white
5205,6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5,white
4261,7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6,white
3449,7,0.24,0.25,1.7,0.042,48,189,0.992,3.25,0.42,11.4,6,white
6214,7.1,0.33,0.18,6.3,0.094,27,166,0.99474,2.9,0.49,9.5,5,white
2039,6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,5,white
2041,6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6,white
4315,7.8,0.25,0.28,7.2,0.04,46,179,0.99541,3.14,0.6,10.1,6,white
1989,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,white
4589,6.2,0.16,0.32,1.1,0.036,74,184,0.99096,3.22,0.41,11,6,white
277,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,red
3754,9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4,white
669,10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5,red
2057,7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,white
5455,5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,6,white
1753,7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5,white
1130,10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6,red
4741,5.9,0.33,0.32,8.1,0.038,9,34,0.9911,3.22,0.36,12.7,7,white
5235,5.8,0.58,0,1.5,0.02,33,96,0.98918,3.29,0.38,12.4,6,white
1269,6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6,red
1790,6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6,white
2550,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5,white
5735,5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3,5,white
5688,7.3,0.25,0.27,3.8,0.047,16,79,0.99173,3.07,0.46,11.3,6,white
6395,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7,white
3311,7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,5,white
3898,6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8,white
4895,6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,5,white
1817,5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5,white
2024,6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,7,white
3086,6.2,0.15,0.49,0.9,0.033,17,51,0.9932,3.3,0.7,9.4,6,white
2652,7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,5,white
4171,7,0.16,0.32,1.1,0.032,29,80,0.98972,3.23,0.36,12.1,6,white
5889,6.6,0.26,0.27,11.8,0.048,28,112,0.99606,2.87,0.49,9.7,6,white
1223,8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6,red
5191,6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8,5,white
2651,6.9,0.21,0.81,1.1,0.137,52,123,0.9932,3.03,0.39,9.2,6,white
2194,6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5,white
1016,10.5,0.39,0.46,2.2,0.075,14,27,0.99598,3.06,0.84,11.4,6,red
2306,6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10,5,white
4293,6.7,0.23,0.25,1.6,0.036,28,143,0.99256,3.3,0.54,10.3,6,white
5174,8.1,0.17,0.21,1.6,0.036,24,119,0.99396,3.18,0.52,10.1,6,white
956,8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5,red
2776,6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,7,white
4639,6.3,0.27,0.29,12.2,0.044,59,196,0.99782,3.14,0.4,8.8,6,white
3819,6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,7,white
1226,9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5,red
4677,6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5,white
1527,6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,6,red
1848,5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7,white
3007,7.1,0.19,0.28,3.6,0.033,16,78,0.993,2.91,0.78,11.4,6,white
1030,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7,red
5069,7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,6,white
5829,6.3,0.26,0.25,5.2,0.046,11,133,0.99202,2.97,0.68,11,6,white
553,9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6,red
5701,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,5,white
2337,6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5,white
2516,7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,10.3,7,white
5911,7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,5,white
2978,6.9,0.28,0.3,1.6,0.047,46,132,0.9918,3.35,0.38,11.1,7,white
4658,6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5,white
5747,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,7,white
6230,5.7,0.25,0.32,12.2,0.041,43,127,0.99524,3.23,0.53,10.4,7,white
6423,6.5,0.28,0.34,4.6,0.054,22,130,0.99193,3.2,0.46,12,7,white
6481,5,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6,white
5389,6.6,0.26,0.52,8.2,0.047,52,191,0.99541,3.16,0.47,9.5,6,white
2060,7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,white
1166,8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5,red
994,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5,red
2868,7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5,white
2628,7,0.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4,7,white
3225,6.4,0.26,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7,6,white
4805,6.8,0.45,0.36,5,0.033,28,156,0.991,3.11,0.4,12.4,7,white
6165,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5,white
2401,6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5,white
4762,6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7,white
4117,7.3,0.51,0.29,11.3,0.034,61,224,0.99683,3.14,0.56,9.5,6,white
4508,6.2,0.2,0.31,1,0.031,22,73,0.99035,3.24,0.52,11.3,6,white
3817,8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,6,white
42,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,red
1696,6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,white
5803,6.2,0.3,0.32,1.3,0.054,27,183,0.99266,3.3,0.43,10.1,5,white
5026,7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6,white
2828,9.4,0.26,0.53,1.2,0.047,25,109,0.9921,3.23,0.28,12.5,6,white
5343,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,white
2902,7.4,0.19,0.42,6.4,0.067,39,212,0.9958,3.3,0.33,9.6,6,white
2724,9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,5,white
5328,6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5,7,white
716,7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,6,red
5450,6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,6,white
1780,6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6,white
4786,8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,4,white
4348,5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,8,white
5546,6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5,6,white
3382,8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6,white
3184,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6,white
4432,6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,6,white
5745,6.8,0.26,0.29,11.9,0.052,54,160,0.99546,3.03,0.58,10.4,6,white
3274,6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,6,white
1438,6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1,5,red
2419,6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5,white
5306,6.6,0.15,0.34,1,0.037,45,79,0.98949,2.96,0.5,11.7,6,white
2585,6,0.41,0.21,1.9,0.05,29,122,0.9928,3.42,0.52,10.5,6,white
466,10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,5,red
4375,7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8,white
3336,6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,5,white
4625,5.4,0.22,0.29,1.2,0.045,69,152,0.99178,3.76,0.63,11,7,white
2843,7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7,white
1665,6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5,white
1321,9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1,5,red
686,8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,red
5780,6.5,0.31,0.61,13,0.053,31,123,0.99708,3.09,0.5,9.3,6,white
1451,7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7,red
5773,7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3,5,white
3055,6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,5,white
1262,6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4,red
1927,6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10,6,white
670,11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,red
607,9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,7,red
3856,7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4,5,white
2256,9,0.27,0.35,4.9,0.028,27,95,0.9932,3.04,0.4,11.3,6,white
2569,5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,7,white
2517,7.7,0.3,0.32,1.6,0.037,23,124,0.9919,2.93,0.33,11,6,white
5429,7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2,7,white
6205,6.5,0.29,0.32,3,0.036,38,93,0.9906,3.16,0.59,12,6,white
1239,8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,4,red
4334,7.1,0.29,0.28,9.3,0.048,50,141,0.9949,3.13,0.49,10.3,6,white
3601,6.7,0.31,0.08,1.3,0.038,58,147,0.9922,3.18,0.46,10,5,white
2056,6.3,0.23,0.31,1.5,0.022,11,82,0.9892,3.3,0.4,12.9,7,white
226,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,red
3605,7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6,white
1182,9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,5,red
1999,6.4,0.19,0.42,2.9,0.032,32,83,0.9908,3.3,0.41,11.7,6,white
5312,6.3,0.2,0.18,10.6,0.045,57,159,0.99666,3.09,0.54,9.2,5,white
5757,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7,white
4154,6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7,white
3763,8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6,white
2675,6.4,0.4,0.19,3.2,0.033,28,124,0.9904,3.22,0.54,12.7,7,white
2173,7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,7,white
5473,7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9,5,white
4231,6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7,white
4979,7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,5,white
1777,5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,5,white
1851,8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,3,white
4789,6.6,0.19,0.33,1.8,0.035,42,148,0.99196,3.15,0.36,10.2,5,white
5413,7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,5,white
1164,9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5,red
5835,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5,white
2082,5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,5,white
618,11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,6,red
1243,9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,6,red
3284,7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7,white
6403,6.4,0.31,0.5,5.8,0.038,42,111,0.99189,3.18,0.53,11.9,7,white
3406,7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5,white
1100,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5,red
3718,6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,6,white
3581,7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,white
3669,7.1,0.33,0.25,1.6,0.03,25,126,0.9901,3.22,0.34,12.1,7,white
3741,7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5,white
4754,7.2,0.4,0.38,2.2,0.03,40,109,0.99075,3.27,0.46,12.6,6,white
3579,7.5,0.38,0.5,12.8,0.042,57,184,0.9984,3.09,0.46,9,6,white
6200,8.3,0.22,0.34,1.1,0.043,20,116,0.9927,3,0.47,10.2,6,white
1167,9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5,red
1974,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7,white
1722,7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5,white
500,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6,red
5259,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,8,white
3257,7.8,0.4,0.49,7.8,0.06,34,162,0.9966,3.26,0.58,11.3,6,white
4225,4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,5,white
5027,5.8,0.24,0.26,10.05,0.039,63,162,0.99375,3.33,0.5,11.2,6,white
1301,5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,6,red
1025,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7,red
4914,6.6,0.435,0.38,9.2,0.058,66,243,0.99833,3.23,0.54,9.1,6,white
5463,6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6,white
6091,6.1,0.28,0.23,4.2,0.038,13,95,0.98898,2.97,0.7,13.1,6,white
5954,6.4,0.31,0.27,7.4,0.049,48,169,0.99323,3.27,0.45,11.1,6,white
4669,7,0.53,0.43,6.1,0.029,6,76,0.99118,3.08,0.5,12.5,8,white
2892,6.2,0.17,0.3,1.1,0.037,14,79,0.993,3.5,0.54,10.3,6,white
1946,5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,7,white
1040,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6,red
3555,6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9,5,white
1984,6,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,7,white
5617,5.9,0.23,0.24,1.6,0.037,32,115,0.99076,3.21,0.51,11.4,6,white
1446,7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.6,6,red
4529,6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6,white
6410,5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1,5,white
133,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,red
4618,6.8,0.22,0.31,6.9,0.037,33,121,0.99176,3.02,0.39,11.9,8,white
4687,6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,3,white
3423,7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,6,white
4203,6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7,white
4984,6.8,0.23,0.3,6.95,0.044,42,179,0.9946,3.25,0.56,10.6,6,white
3845,7.5,0.31,0.24,7.1,0.031,28,141,0.99397,3.16,0.38,10.6,7,white
733,7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,5,red
6330,7.9,0.3,0.6,1.85,0.048,13,106,0.99331,3.24,0.49,11.85,5,white
2513,5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5,white
5852,6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,6,white
6236,6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.56666667,5,white
389,7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,6,red
2320,6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5,white
292,11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5,red
1692,6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7,white
2362,6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7,5,white
1683,7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6,white
4767,5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,7,white
3295,7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,6,white
3293,6.7,0.265,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2,5,white
720,7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5,red
1926,7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,6,white
172,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,red
5209,7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,6,white
2509,7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5,white
